country departure,country arrival,number of routes
Afghanistan,Afghanistan,6
Afghanistan,Bahrain,1
Afghanistan,China,1
Afghanistan,Germany,1
Afghanistan,India,5
Afghanistan,Iran,8
Afghanistan,Pakistan,2
Afghanistan,Russia,1
Afghanistan,Tajikistan,2
Afghanistan,Turkey,3
Afghanistan,United Arab Emirates,7
Albania,Austria,1
Albania,Belgium,1
Albania,Germany,1
Albania,Greece,7
Albania,Hungary,2
Albania,Italy,22
Albania,Slovenia,1
Albania,Turkey,1
Albania,United Kingdom,2
Algeria,Algeria,58
Algeria,Belgium,1
Algeria,Burkina Faso,1
Algeria,Canada,1
Algeria,China,1
Algeria,Egypt,2
Algeria,France,69
Algeria,Germany,2
Algeria,Italy,3
Algeria,Jordan,1
Algeria,Lebanon,1
Algeria,Mali,1
Algeria,Mauritania,1
Algeria,Morocco,2
Algeria,Niger,1
Algeria,Portugal,1
Algeria,Qatar,1
Algeria,Russia,1
Algeria,Senegal,1
Algeria,Spain,10
Algeria,Switzerland,1
Algeria,Syria,3
Algeria,Tunisia,2
Algeria,Turkey,2
Algeria,United Arab Emirates,1
Algeria,United Kingdom,2
American Samoa,United States of America,1
Angola,Angola,38
Angola,Brazil,2
Angola,China,1
Angola,Congo,8
Angola,Cuba,1
Angola,Egypt,1
Angola,Ethiopia,1
Angola,France,2
Angola,Gabon,1
Angola,Germany,2
Angola,Kenya,2
Angola,Mozambique,2
Angola,Namibia,3
Angola,Nigeria,1
Angola,Portugal,3
Angola,Sao Tome and Principe,1
Angola,South Africa,3
Angola,Spain,2
Angola,United Arab Emirates,2
Angola,United Kingdom,2
Angola,Zimbabwe,1
Anguilla,Antigua and Barbuda,1
Anguilla,Netherlands Antilles,1
Anguilla,Puerto Rico,1
Anguilla,Virgin Islands,1
Antigua and Barbuda,Anguilla,1
Antigua and Barbuda,Barbados,2
Antigua and Barbuda,British Virgin Islands,1
Antigua and Barbuda,Canada,2
Antigua and Barbuda,Dominica,1
Antigua and Barbuda,Dominican Republic,3
Antigua and Barbuda,Guadeloupe,1
Antigua and Barbuda,Jamaica,1
Antigua and Barbuda,Montserrat,1
Antigua and Barbuda,Netherlands Antilles,1
Antigua and Barbuda,Puerto Rico,3
Antigua and Barbuda,Saint Kitts and Nevis,3
Antigua and Barbuda,Saint Lucia,1
Antigua and Barbuda,Trinidad and Tobago,1
Antigua and Barbuda,United Kingdom,2
Antigua and Barbuda,United States of America,7
Argentina,Argentina,145
Argentina,Australia,2
Argentina,Bolivia,6
Argentina,Brazil,27
Argentina,Chile,10
Argentina,Colombia,2
Argentina,Cuba,5
Argentina,Dominican Republic,1
Argentina,Ecuador,1
Argentina,Falkland Islands,1
Argentina,France,1
Argentina,Germany,1
Argentina,Italy,2
Argentina,Mexico,2
Argentina,Netherlands,1
Argentina,New Zealand,1
Argentina,Panama,2
Argentina,Paraguay,4
Argentina,Peru,6
Argentina,South Africa,2
Argentina,Spain,5
Argentina,United Kingdom,1
Argentina,United States of America,13
Argentina,Uruguay,10
Argentina,Venezuela,2
Armenia,Austria,2
Armenia,Belarus,1
Armenia,Cyprus,1
Armenia,Czech Republic,2
Armenia,France,2
Armenia,Georgia,1
Armenia,Greece,1
Armenia,Iran,5
Armenia,Israel,2
Armenia,Kazakhstan,1
Armenia,Lebanon,1
Armenia,Poland,2
Armenia,Russia,35
Armenia,Syria,1
Armenia,Ukraine,2
Armenia,United Arab Emirates,2
Armenia,United Kingdom,3
Aruba,Brazil,1
Aruba,Canada,1
Aruba,Colombia,2
Aruba,Netherlands,1
Aruba,Netherlands Antilles,6
Aruba,Panama,2
Aruba,Suriname,1
Aruba,United States of America,21
Aruba,Venezuela,3
Australia,Argentina,2
Australia,Australia,717
Australia,Brunei,1
Australia,Canada,1
Australia,China,16
Australia,Christmas Island,1
Australia,Cook Islands,1
Australia,East Timor,3
Australia,Fiji,10
Australia,Guam,2
Australia,Hong Kong,12
Australia,Indonesia,22
Australia,Japan,14
Australia,Malaysia,15
Australia,Mauritius,2
Australia,New Caledonia,5
Australia,New Zealand,79
Australia,Norfolk Island,8
Australia,Papua New Guinea,9
Australia,Philippines,5
Australia,Qatar,1
Australia,Reunion,1
Australia,Samoa,2
Australia,Singapore,31
Australia,Solomon Islands,3
Australia,South Africa,4
Australia,South Korea,6
Australia,Taiwan,4
Australia,Thailand,20
Australia,Tonga,1
Australia,United Arab Emirates,10
Australia,United States of America,30
Australia,Vanuatu,9
Australia,Vietnam,6
Austria,Albania,1
Austria,Armenia,2
Austria,Austria,12
Austria,Azerbaijan,2
Austria,Belarus,2
Austria,Belgium,2
Austria,Bosnia and Herzegovina,1
Austria,Bulgaria,6
Austria,Canada,3
Austria,China,2
Austria,Croatia,2
Austria,Cyprus,1
Austria,Czech Republic,3
Austria,Denmark,8
Austria,Dominican Republic,1
Austria,Egypt,13
Austria,Finland,1
Austria,France,9
Austria,Georgia,2
Austria,Germany,69
Austria,Greece,2
Austria,Hungary,1
Austria,India,4
Austria,Iran,2
Austria,Iraq,2
Austria,Ireland,2
Austria,Israel,2
Austria,Italy,16
Austria,Japan,2
Austria,Jordan,3
Austria,Kazakhstan,2
Austria,Latvia,2
Austria,Lithuania,1
Austria,Luxembourg,2
Austria,Macedonia,1
Austria,Maldives,1
Austria,Malta,2
Austria,Moldova,2
Austria,Montenegro,2
Austria,Netherlands,11
Austria,Norway,5
Austria,Poland,4
Austria,Portugal,2
Austria,Qatar,1
Austria,Romania,14
Austria,Russia,22
Austria,Serbia,6
Austria,Slovakia,1
Austria,Slovenia,2
Austria,Spain,24
Austria,Sweden,8
Austria,Switzerland,13
Austria,Syria,1
Austria,Taiwan,1
Austria,Thailand,3
Austria,Tunisia,1
Austria,Turkey,10
Austria,Ukraine,12
Austria,United Arab Emirates,2
Austria,United Kingdom,29
Austria,United States of America,5
Azerbaijan,Austria,2
Azerbaijan,Azerbaijan,2
Azerbaijan,Belarus,2
Azerbaijan,China,2
Azerbaijan,Czech Republic,2
Azerbaijan,France,2
Azerbaijan,Georgia,2
Azerbaijan,Germany,4
Azerbaijan,Iran,2
Azerbaijan,Israel,1
Azerbaijan,Italy,1
Azerbaijan,Kazakhstan,4
Azerbaijan,Kyrgyzstan,1
Azerbaijan,Russia,21
Azerbaijan,Turkey,4
Azerbaijan,Turkmenistan,3
Azerbaijan,Ukraine,3
Azerbaijan,United Arab Emirates,2
Azerbaijan,United Kingdom,3
Azerbaijan,United States of America,1
Azerbaijan,Uzbekistan,1
Bahamas,Bahamas,61
Bahamas,Canada,6
Bahamas,Cayman Islands,1
Bahamas,Cuba,1
Bahamas,Jamaica,1
Bahamas,Panama,1
Bahamas,Turks and Caicos Islands,3
Bahamas,United Kingdom,1
Bahamas,United States of America,71
Bahrain,Afghanistan,1
Bahrain,Bangladesh,1
Bahrain,Cyprus,2
Bahrain,Denmark,1
Bahrain,Egypt,2
Bahrain,Ethiopia,1
Bahrain,France,1
Bahrain,Germany,1
Bahrain,Greece,1
Bahrain,Hong Kong,1
Bahrain,India,8
Bahrain,Italy,2
Bahrain,Jordan,3
Bahrain,Kenya,1
Bahrain,Kuwait,8
Bahrain,Lebanon,2
Bahrain,Malaysia,2
Bahrain,Nepal,2
Bahrain,Netherlands,3
Bahrain,Oman,2
Bahrain,Pakistan,5
Bahrain,Philippines,2
Bahrain,Qatar,11
Bahrain,Saudi Arabia,11
Bahrain,Sri Lanka,2
Bahrain,Sudan,2
Bahrain,Switzerland,1
Bahrain,Syria,2
Bahrain,Thailand,2
Bahrain,Turkey,2
Bahrain,Uganda,1
Bahrain,United Arab Emirates,11
Bahrain,United Kingdom,5
Bahrain,Yemen,4
Bangladesh,Bahrain,1
Bangladesh,Bangladesh,22
Bangladesh,Bhutan,1
Bangladesh,China,2
Bangladesh,Hong Kong,1
Bangladesh,India,9
Bangladesh,Italy,1
Bangladesh,Kuwait,2
Bangladesh,Malaysia,3
Bangladesh,Nepal,4
Bangladesh,Oman,2
Bangladesh,Pakistan,3
Bangladesh,Qatar,2
Bangladesh,Saudi Arabia,6
Bangladesh,Singapore,2
Bangladesh,Sri Lanka,2
Bangladesh,Thailand,6
Bangladesh,United Arab Emirates,14
Bangladesh,United Kingdom,1
Barbados,Antigua and Barbuda,2
Barbados,Brazil,1
Barbados,Canada,3
Barbados,Dominica,1
Barbados,Germany,1
Barbados,Grenada,2
Barbados,Guyana,1
Barbados,Jamaica,1
Barbados,Puerto Rico,1
Barbados,Saint Lucia,1
Barbados,Saint Vincent and the Grenadines,2
Barbados,Trinidad and Tobago,3
Barbados,United Kingdom,6
Barbados,United States of America,5
Belarus,Armenia,1
Belarus,Austria,2
Belarus,Azerbaijan,2
Belarus,Cyprus,1
Belarus,Czech Republic,2
Belarus,Finland,2
Belarus,France,1
Belarus,Georgia,2
Belarus,Germany,4
Belarus,Iran,1
Belarus,Israel,1
Belarus,Italy,2
Belarus,Kazakhstan,1
Belarus,Latvia,2
Belarus,Lebanon,1
Belarus,Netherlands,1
Belarus,Poland,2
Belarus,Russia,9
Belarus,Sweden,1
Belarus,Turkey,2
Belarus,Turkmenistan,1
Belarus,Ukraine,2
Belarus,United Arab Emirates,1
Belarus,United Kingdom,1
Belgium,Albania,1
Belgium,Algeria,1
Belgium,Angola,7
Belgium,Austria,2
Belgium,Bulgaria,2
Belgium,Burkina Faso,6
Belgium,Burundi,6
Belgium,Cameroon,11
Belgium,Canada,8
Belgium,China,2
Belgium,Cote d'Ivoire,6
Belgium,Croatia,2
Belgium,Cyprus,1
Belgium,Czech Republic,2
Belgium,Denmark,4
Belgium,Egypt,3
Belgium,Estonia,2
Belgium,Finland,5
Belgium,France,18
Belgium,Gambia,6
Belgium,Germany,14
Belgium,Ghana,4
Belgium,Greece,4
Belgium,Hungary,3
Belgium,India,6
Belgium,Ireland,2
Belgium,Israel,2
Belgium,Italy,29
Belgium,Jordan,1
Belgium,Latvia,3
Belgium,Lebanon,2
Belgium,Liberia,6
Belgium,Lithuania,4
Belgium,Mali,4
Belgium,Malta,2
Belgium,Morocco,11
Belgium,Netherlands,3
Belgium,Norway,3
Belgium,Poland,7
Belgium,Portugal,9
Belgium,Qatar,1
Belgium,Romania,3
Belgium,Russia,2
Belgium,Rwanda,7
Belgium,Senegal,1
Belgium,Serbia,4
Belgium,Slovakia,1
Belgium,Slovenia,2
Belgium,Spain,28
Belgium,Sweden,7
Belgium,Switzerland,6
Belgium,Thailand,1
Belgium,Tunisia,2
Belgium,Turkey,3
Belgium,Ukraine,2
Belgium,United Arab Emirates,4
Belgium,United Kingdom,25
Belgium,United States of America,22
Belize,Belize,30
Belize,El Salvador,2
Belize,United States of America,9
Benin,Burkina Faso,9
Benin,Cameroon,8
Benin,Chad,1
Benin,Congo,3
Benin,Congo,3
Benin,Cote d'Ivoire,3
Benin,Equatorial Guinea,2
Benin,France,1
Benin,Gabon,5
Benin,Kenya,1
Benin,Mali,2
Benin,Morocco,1
Benin,Nigeria,3
Benin,Senegal,1
Benin,Togo,2
Bermuda,Canada,2
Bermuda,United Kingdom,1
Bermuda,United States of America,8
Bhutan,Bangladesh,1
Bhutan,India,5
Bhutan,Nepal,1
Bolivia,Argentina,5
Bolivia,Bolivia,104
Bolivia,Brazil,4
Bolivia,Chile,3
Bolivia,Colombia,1
Bolivia,Panama,1
Bolivia,Paraguay,2
Bolivia,Peru,7
Bolivia,Spain,1
Bolivia,United States of America,2
Bosnia and Herzegovina,Austria,1
Bosnia and Herzegovina,Bosnia and Herzegovina,2
Bosnia and Herzegovina,Croatia,1
Bosnia and Herzegovina,Denmark,1
Bosnia and Herzegovina,Germany,2
Bosnia and Herzegovina,Hungary,1
Bosnia and Herzegovina,Netherlands,1
Bosnia and Herzegovina,Serbia,1
Bosnia and Herzegovina,Slovenia,1
Bosnia and Herzegovina,Switzerland,1
Bosnia and Herzegovina,Turkey,2
Botswana,Botswana,8
Botswana,Kenya,2
Botswana,South Africa,5
Botswana,Zambia,1
Botswana,Zimbabwe,1
Brazil,Angola,2
Brazil,Argentina,27
Brazil,Barbados,1
Brazil,Bolivia,5
Brazil,Brazil,1778
Brazil,Canada,2
Brazil,Cape Verde,1
Brazil,Chile,6
Brazil,Colombia,4
Brazil,France,4
Brazil,French Guiana,1
Brazil,Germany,14
Brazil,Italy,4
Brazil,Mexico,2
Brazil,Netherlands,2
Brazil,Netherlands Antilles,1
Brazil,Panama,7
Brazil,Paraguay,6
Brazil,Peru,7
Brazil,Portugal,18
Brazil,Qatar,1
Brazil,South Africa,1
Brazil,Spain,9
Brazil,Switzerland,1
Brazil,Turkey,1
Brazil,United Arab Emirates,2
Brazil,United Kingdom,6
Brazil,United States of America,52
Brazil,Uruguay,15
Brazil,Venezuela,2
British Virgin Islands,Antigua and Barbuda,1
British Virgin Islands,Dominica,1
British Virgin Islands,Netherlands Antilles,2
British Virgin Islands,Puerto Rico,4
British Virgin Islands,Virgin Islands,1
Brunei,Australia,1
Brunei,China,1
Brunei,Hong Kong,2
Brunei,Indonesia,4
Brunei,Malaysia,4
Brunei,Philippines,2
Brunei,Saudi Arabia,1
Brunei,Singapore,2
Brunei,Thailand,2
Brunei,United Arab Emirates,1
Bulgaria,Austria,6
Bulgaria,Belgium,2
Bulgaria,Bulgaria,2
Bulgaria,Cyprus,3
Bulgaria,Czech Republic,2
Bulgaria,France,3
Bulgaria,Germany,9
Bulgaria,Greece,5
Bulgaria,Hungary,4
Bulgaria,Israel,2
Bulgaria,Italy,8
Bulgaria,Lebanon,1
Bulgaria,Netherlands,3
Bulgaria,Poland,2
Bulgaria,Romania,3
Bulgaria,Russia,5
Bulgaria,Spain,7
Bulgaria,Switzerland,1
Bulgaria,Turkey,1
Bulgaria,Ukraine,2
Bulgaria,United Kingdom,9
Burkina Faso,Algeria,1
Burkina Faso,Belgium,6
Burkina Faso,Benin,9
Burkina Faso,Burkina Faso,2
Burkina Faso,Cote d'Ivoire,4
Burkina Faso,Ethiopia,1
Burkina Faso,France,1
Burkina Faso,Ghana,1
Burkina Faso,Kenya,1
Burkina Faso,Mali,4
Burkina Faso,Morocco,1
Burkina Faso,Niger,7
Burkina Faso,Senegal,1
Burkina Faso,Togo,2
Myanmar,Myanmar,51
Myanmar,Cambodia,1
Myanmar,China,7
Myanmar,India,3
Myanmar,Malaysia,3
Myanmar,Singapore,4
Myanmar,Taiwan,1
Myanmar,Thailand,6
Myanmar,Vietnam,2
Burundi,Kenya,9
Burundi,Rwanda,5
Cambodia,Myanmar,1
Cambodia,Cambodia,8
Cambodia,China,7
Cambodia,Hong Kong,1
Cambodia,Laos,6
Cambodia,Malaysia,4
Cambodia,Singapore,5
Cambodia,South Korea,5
Cambodia,Taiwan,2
Cambodia,Thailand,5
Cambodia,Vietnam,7
Cameroon,Belgium,7
Cameroon,Benin,8
Cameroon,Cameroon,15
Cameroon,Central African Republic,8
Cameroon,Chad,4
Cameroon,Congo,1
Cameroon,Congo,14
Cameroon,Equatorial Guinea,4
Cameroon,Ethiopia,2
Cameroon,France,4
Cameroon,Gabon,6
Cameroon,Kenya,2
Cameroon,Morocco,2
Cameroon,Nigeria,2
Cameroon,Sao Tome and Principe,1
Cameroon,Switzerland,3
Canada,Algeria,1
Canada,Antigua and Barbuda,2
Canada,Aruba,1
Canada,Australia,1
Canada,Austria,3
Canada,Bahamas,6
Canada,Barbados,3
Canada,Belgium,7
Canada,Bermuda,2
Canada,Brazil,2
Canada,Canada,1090
Canada,Cayman Islands,2
Canada,Chile,1
Canada,China,12
Canada,Colombia,2
Canada,Costa Rica,1
Canada,Cuba,36
Canada,Denmark,3
Canada,Dominican Republic,17
Canada,El Salvador,1
Canada,France,13
Canada,Germany,19
Canada,Grenada,2
Canada,Guadeloupe,1
Canada,Haiti,1
Canada,Hong Kong,6
Canada,India,1
Canada,Israel,2
Canada,Italy,2
Canada,Jamaica,16
Canada,Japan,6
Canada,Jordan,3
Canada,Martinique,1
Canada,Mexico,86
Canada,Morocco,1
Canada,Netherlands,8
Canada,Netherlands Antilles,3
Canada,New Zealand,2
Canada,Pakistan,3
Canada,Panama,1
Canada,Peru,1
Canada,Philippines,1
Canada,Poland,2
Canada,Portugal,5
Canada,Puerto Rico,3
Canada,Qatar,1
Canada,Russia,1
Canada,Saint Kitts and Nevis,1
Canada,Saint Lucia,3
Canada,Saint Pierre and Miquelon,3
Canada,South Korea,4
Canada,Switzerland,9
Canada,Taiwan,3
Canada,Trinidad and Tobago,1
Canada,Turkey,1
Canada,Turks and Caicos Islands,4
Canada,Ukraine,1
Canada,United Arab Emirates,2
Canada,United Kingdom,44
Canada,United States of America,399
Canada,Venezuela,1
Canada,Virgin Islands,1
Cape Verde,Cape Verde,32
Cape Verde,France,2
Cape Verde,Germany,1
Cape Verde,Luxembourg,1
Cape Verde,Netherlands,1
Cape Verde,Portugal,7
Cape Verde,Sao Tome and Principe,1
Cape Verde,Senegal,2
Cape Verde,Spain,4
Cape Verde,United Kingdom,8
Cape Verde,United States of America,1
Cayman Islands,Bahamas,1
Cayman Islands,Canada,2
Cayman Islands,Cayman Islands,6
Cayman Islands,Cuba,1
Cayman Islands,Honduras,2
Cayman Islands,Jamaica,2
Cayman Islands,United States of America,18
Central African Republic,Cameroon,8
Central African Republic,Chad,1
Central African Republic,Congo,1
Central African Republic,Ethiopia,2
Central African Republic,France,1
Central African Republic,Kenya,1
Chad,Benin,1
Chad,Cameroon,3
Chad,Central African Republic,1
Chad,Chad,2
Chad,Ethiopia,1
Chad,France,1
Chad,Kenya,1
Chad,Nigeria,1
Chad,Sudan,1
Chile,Argentina,12
Chile,Bolivia,3
Chile,Brazil,6
Chile,Canada,1
Chile,Chile,124
Chile,Colombia,2
Chile,Dominican Republic,1
Chile,Ecuador,1
Chile,France,2
Chile,French Polynesia,1
Chile,Mexico,3
Chile,New Zealand,2
Chile,Panama,1
Chile,Paraguay,2
Chile,Peru,11
Chile,Spain,2
Chile,United States of America,10
Chile,Uruguay,2
Chile,Venezuela,1
China,Afghanistan,1
China,Algeria,1
China,Angola,1
China,Australia,16
China,Austria,2
China,Azerbaijan,2
China,Bangladesh,2
China,Belgium,2
China,Brunei,1
China,Myanmar,7
China,Cambodia,7
China,Canada,12
China,China,5381
China,Denmark,2
China,Egypt,4
China,Ethiopia,1
China,Finland,4
China,France,7
China,Georgia,1
China,Germany,17
China,Hong Kong,107
China,Hungary,2
China,India,8
China,Indonesia,7
China,Iran,3
China,Israel,2
China,Italy,7
China,Japan,146
China,Kazakhstan,5
China,Korea,3
China,Kyrgyzstan,4
China,Laos,4
China,Macau,37
China,Malaysia,22
China,Maldives,3
China,Mexico,1
China,Mongolia,3
China,Nepal,3
China,Netherlands,13
China,New Zealand,5
China,Northern Mariana Islands,2
China,Pakistan,5
China,Philippines,19
China,Qatar,4
China,Russia,34
China,Saudi Arabia,1
China,Singapore,37
China,South Korea,120
China,Spain,1
China,Sri Lanka,1
China,Sweden,2
China,Switzerland,2
China,Taiwan,165
China,Tajikistan,4
China,Thailand,42
China,Turkey,7
China,Turkmenistan,1
China,Ukraine,2
China,United Arab Emirates,13
China,United Kingdom,7
China,United States of America,49
China,Uzbekistan,2
China,Vietnam,15
Christmas Island,Australia,1
Christmas Island,Cocos Islands,1
Cocos Islands,Christmas Island,1
Colombia,Argentina,2
Colombia,Aruba,2
Colombia,Bolivia,1
Colombia,Brazil,4
Colombia,Canada,2
Colombia,Chile,2
Colombia,Colombia,297
Colombia,Costa Rica,4
Colombia,Cuba,2
Colombia,Dominican Republic,2
Colombia,Ecuador,10
Colombia,El Salvador,2
Colombia,France,1
Colombia,Germany,2
Colombia,Mexico,4
Colombia,Netherlands Antilles,2
Colombia,Panama,12
Colombia,Peru,3
Colombia,Spain,5
Colombia,United States of America,27
Colombia,Venezuela,5
Comoros,Comoros,1
Comoros,Djibouti,1
Comoros,Kenya,2
Comoros,Madagascar,4
Comoros,Mayotte,3
Comoros,Reunion,1
Comoros,Tanzania,1
Comoros,Yemen,1
Congo,Benin,3
Congo,Cameroon,1
Congo,4
Congo,Ethiopia,1
Congo,France,1
Congo,Gabon,2
Congo,Morocco,1
Congo,Angola,1
Congo,Belgium,7
Congo,Benin,2
Congo,Cameroon,10
Congo,Central African Republic,1
Congo,4
Congo,6
Congo,Ethiopia,2
Congo,France,2
Congo,Gabon,4
Congo,Kenya,4
Congo,Malawi,1
Congo,Morocco,2
Congo,Rwanda,1
Congo,South Africa,3
Congo,Zambia,3
Congo,Zimbabwe,1
Cook Islands,Australia,1
Cook Islands,Cook Islands,14
Cook Islands,French Polynesia,1
Cook Islands,New Zealand,2
Cook Islands,United States of America,3
Costa Rica,Canada,1
Costa Rica,Colombia,4
Costa Rica,Costa Rica,64
Costa Rica,Cuba,2
Costa Rica,Dominican Republic,2
Costa Rica,Ecuador,1
Costa Rica,El Salvador,4
Costa Rica,Guatemala,3
Costa Rica,Honduras,5
Costa Rica,Mexico,3
Costa Rica,Nicaragua,3
Costa Rica,Panama,4
Costa Rica,Peru,3
Costa Rica,Spain,1
Costa Rica,United States of America,38
Costa Rica,Venezuela,2
Cote d'Ivoire,Belgium,6
Cote d'Ivoire,Benin,3
Cote d'Ivoire,Burkina Faso,4
Cote d'Ivoire,France,2
Cote d'Ivoire,Ghana,3
Cote d'Ivoire,Guinea,3
Cote d'Ivoire,Kenya,1
Cote d'Ivoire,Liberia,5
Cote d'Ivoire,Mali,4
Cote d'Ivoire,Morocco,1
Cote d'Ivoire,Nigeria,1
Cote d'Ivoire,Senegal,2
Cote d'Ivoire,Togo,7
Cote d'Ivoire,Tunisia,1
Croatia,Austria,2
Croatia,Belgium,2
Croatia,Bosnia and Herzegovina,1
Croatia,Croatia,8
Croatia,Czech Republic,1
Croatia,Denmark,2
Croatia,France,4
Croatia,Germany,15
Croatia,Hungary,1
Croatia,Italy,4
Croatia,Macedonia,1
Croatia,Montenegro,1
Croatia,Netherlands,1
Croatia,Russia,1
Croatia,Serbia,1
Croatia,Switzerland,2
Croatia,Turkey,2
Croatia,United Kingdom,6
Cuba,Angola,1
Cuba,Argentina,1
Cuba,Bahamas,1
Cuba,Canada,36
Cuba,Cayman Islands,1
Cuba,Colombia,2
Cuba,Costa Rica,2
Cuba,Cuba,38
Cuba,Dominican Republic,4
Cuba,El Salvador,1
Cuba,France,3
Cuba,Germany,6
Cuba,Haiti,1
Cuba,Italy,5
Cuba,Jamaica,1
Cuba,Martinique,1
Cuba,Mexico,8
Cuba,Netherlands,1
Cuba,Nicaragua,1
Cuba,Panama,2
Cuba,Peru,1
Cuba,Russia,3
Cuba,Spain,3
Cuba,United Kingdom,4
Cuba,Venezuela,2
Cyprus,Armenia,1
Cyprus,Austria,1
Cyprus,Bahrain,2
Cyprus,Belarus,1
Cyprus,Belgium,1
Cyprus,Bulgaria,3
Cyprus,Czech Republic,1
Cyprus,Egypt,1
Cyprus,France,1
Cyprus,Germany,8
Cyprus,Greece,9
Cyprus,Hungary,1
Cyprus,Israel,3
Cyprus,Italy,5
Cyprus,Jordan,1
Cyprus,Lebanon,2
Cyprus,Malta,2
Cyprus,Netherlands,2
Cyprus,Norway,1
Cyprus,Poland,1
Cyprus,Romania,2
Cyprus,Russia,6
Cyprus,Serbia,1
Cyprus,Spain,1
Cyprus,Switzerland,1
Cyprus,Syria,3
Cyprus,Turkey,14
Cyprus,Ukraine,1
Cyprus,United Arab Emirates,4
Cyprus,United Kingdom,20
Czech Republic,Armenia,2
Czech Republic,Austria,3
Czech Republic,Azerbaijan,2
Czech Republic,Belarus,2
Czech Republic,Belgium,2
Czech Republic,Bulgaria,2
Czech Republic,Croatia,1
Czech Republic,Cyprus,1
Czech Republic,Czech Republic,4
Czech Republic,Denmark,3
Czech Republic,Estonia,1
Czech Republic,Finland,2
Czech Republic,France,8
Czech Republic,Georgia,1
